arm,conv,turn,tier,t_send,prompt,uncached,ttft,latency,queue,l3_read,prefill,decode,how,qdepth
three_tier_to,82,31,cold,5487.32,29039,21231,255.4744,296.2653,224.8068,0.0,30.6676,40.7909,estimated,72
three_tier_to,71,30,cold,5305.55,44343,36535,264.9928,481.1954,234.3252,0.0,30.6676,216.2026,estimated,69
three_tier_to,114,35,cold,5502.346,29702,21894,255.4698,287.9439,224.8022,0.0,30.6676,32.4741,estimated,71
three_tier_to,41,36,cold,5511.808,30745,22937,257.5031,284.3831,226.8355,0.0,30.6676,26.88,estimated,72
three_tier_to,3,30,cold,5172.263,29425,21617,256.5976,627.3011,225.93,0.0,30.6676,370.7035,estimated,70
three_tier_to,60,36,cold,5526.639,34154,26346,252.3355,272.9253,221.6679,0.0,30.6676,20.5898,estimated,70
three_tier_to,69,36,cold,5534.585,29595,21787,254.7903,272.4231,224.1227,0.0,30.6676,17.6328,estimated,70
three_tier_to,42,17,cold,5385.858,26010,18202,259.5944,423.9521,228.9268,0.0,30.6676,164.3577,estimated,73
three_tier_to,120,37,cold,5532.449,31082,23274,254.0588,281.269,223.3912,0.0,30.6676,27.2102,estimated,70
three_tier_to,116,32,cold,5542.939,32011,24203,256.344,275.4225,225.6764,0.0,30.6676,19.0785,estimated,69
three_tier_to,104,37,cold,5474.11,28743,20935,260.7691,347.4251,230.1015,0.0,30.6676,86.656,estimated,72
three_tier_to,38,35,cold,5384.55,30152,22344,256.8303,437.2589,226.1627,0.0,30.6676,180.4286,estimated,70
three_tier_to,115,33,cold,5507.269,50149,42341,258.8749,318.2796,228.2073,0.0,30.6676,59.4047,estimated,72
three_tier_to,111,34,cold,5551.491,33010,25202,251.7971,279.8476,221.1295,0.0,30.6676,28.0505,estimated,68
three_tier_to,39,30,cold,5556.606,35079,27271,249.9273,278.2336,219.2597,0.0,30.6676,28.3063,estimated,68
three_tier_to,21,34,cold,5557.527,33745,25937,255.7482,282.8828,225.0806,0.0,30.6676,27.1346,estimated,68
three_tier_to,73,34,cold,5358.04,32627,24819,250.0338,482.4223,219.3662,0.0,30.6676,232.3885,estimated,67
three_tier_to,77,30,cold,5314.314,34073,26265,260.0078,526.1476,229.3402,0.0,30.6676,266.1398,estimated,69
three_tier_to,75,32,cold,5469.353,35454,27646,262.5152,380.7991,231.8476,0.0,30.6676,118.2839,estimated,70
three_tier_to,102,29,cold,5487.574,35990,28182,259.5155,365.5947,228.8479,0.0,30.6676,106.0792,estimated,71
three_tier_to,99,36,cold,5566.556,30193,22385,254.5345,286.6646,223.8669,0.0,30.6676,32.1301,estimated,69
three_tier_to,61,36,cold,5578.091,34505,26697,251.3714,284.8112,220.7038,0.0,30.6676,33.4398,estimated,68
three_tier_to,94,36,cold,5584.384,26134,18326,246.6445,282.9206,215.9769,0.0,30.6676,36.2761,estimated,68
three_tier_to,24,22,cold,5469.093,24672,16864,258.4379,398.9446,227.7703,0.0,30.6676,140.5067,estimated,70
three_tier_to,58,23,cold,5367.013,33207,25399,250.8076,504.0547,220.14,0.0,30.6676,253.2471,estimated,68
three_tier_to,124,34,cold,5586.501,30767,22959,247.6693,288.3173,217.0017,0.0,30.6676,40.648,estimated,68
three_tier_to,105,35,cold,5597.908,33869,26061,249.621,277.4873,218.9534,0.0,30.6676,27.8663,estimated,68
three_tier_to,32,33,cold,5480.779,28725,20917,259.4068,401.8705,228.7392,0.0,30.6676,142.4637,estimated,72
three_tier_to,63,37,cold,5607.178,29039,21231,245.5189,278.8903,214.8513,0.0,30.6676,33.3714,estimated,67
three_tier_to,10,33,cold,5608.267,39371,31563,249.663,281.1095,218.9954,0.0,30.6676,31.4465,estimated,68
three_tier_to,113,32,cold,5529.459,38459,30651,253.6476,365.1561,222.98,0.0,30.6676,111.5085,estimated,70
three_tier_to,79,36,cold,5621.623,31604,23796,245.2108,276.0339,214.5432,0.0,30.6676,30.8231,estimated,66
three_tier_to,26,26,cold,5622.298,28782,20974,248.1918,279.3294,217.5242,0.0,30.6676,31.1376,estimated,64
three_tier_to,36,35,cold,5628.473,34716,26908,246.2946,276.7812,215.627,0.0,30.6676,30.4866,estimated,66
three_tier_to,74,35,cold,5349.371,30704,22896,251.459,558.8623,220.7914,0.0,30.6676,307.4033,estimated,68
three_tier_to,66,30,cold,5594.371,34008,26200,249.8954,318.0542,219.2278,0.0,30.6676,68.1588,estimated,67
three_tier_to,100,34,cold,5630.514,33408,25600,255.4806,286.8528,224.813,0.0,30.6676,31.3722,estimated,66
three_tier_to,31,25,cold,5628.802,47371,39563,253.6259,290.9568,222.9583,0.0,30.6676,37.3309,estimated,65
three_tier_to,83,35,cold,5642.585,30418,22610,254.7617,282.2548,224.0941,0.0,30.6676,27.4931,estimated,68
three_tier_to,86,35,cold,5633.641,32504,24696,255.6604,292.0404,224.9928,0.0,30.6676,36.38,estimated,68
three_tier_to,89,33,cold,5640.342,25477,17669,251.2988,285.4277,220.6312,0.0,30.6676,34.1289,estimated,66
three_tier_to,110,32,cold,5515.784,32691,24883,256.6242,418.9114,225.9566,0.0,30.6676,162.2872,estimated,72
three_tier_to,62,32,cold,5653.222,29724,21916,254.6614,284.8626,223.9938,0.0,30.6676,30.2012,estimated,68
three_tier_to,96,38,cold,5661.351,28215,20407,258.3693,281.77,227.7017,0.0,30.6676,23.4007,estimated,68
three_tier_to,37,24,cold,5671.185,30866,23058,253.3938,272.4078,222.7262,0.0,30.6676,19.014,estimated,69
three_tier_to,126,36,cold,5660.216,40189,32381,257.1129,287.9592,226.4453,0.0,30.6676,30.8463,estimated,68
three_tier_to,48,31,cold,5656.059,36328,28520,256.2134,292.1156,225.5458,0.0,30.6676,35.9022,estimated,68
three_tier_to,7,18,cold,5621.562,19791,11983,242.5807,326.6602,211.9131,0.0,30.6676,84.0795,estimated,66
three_tier_to,52,37,cold,5645.881,32436,24628,258.9823,311.8155,228.3147,0.0,30.6676,52.8332,estimated,69
three_tier_to,27,32,cold,5640.832,32205,24397,253.5119,322.0965,222.8443,0.0,30.6676,68.5846,estimated,66
three_tier_to,22,23,cold,5683.063,30859,23051,250.4318,279.9151,219.7642,0.0,30.6676,29.4833,estimated,67
three_tier_to,2,33,cold,5678.954,40209,32401,251.7453,291.8082,221.0777,0.0,30.6676,40.0629,estimated,68
three_tier_to,118,37,cold,5687.689,39189,31381,255.1759,283.1966,224.5083,0.0,30.6676,28.0207,estimated,69
three_tier_to,29,35,cold,5466.661,30697,22889,259.2804,512.5093,228.6128,0.0,30.6676,253.2289,estimated,70
three_tier_to,112,33,cold,5683.956,32114,24306,253.87,298.262,223.2024,0.0,30.6676,44.392,estimated,68
three_tier_to,103,36,cold,5704.562,30350,22542,250.4494,277.7419,219.7818,0.0,30.6676,27.2925,estimated,67
three_tier_to,12,34,cold,5704.978,31216,23408,252.4618,284.6275,221.7942,0.0,30.6676,32.1657,estimated,67
three_tier_to,49,38,cold,5712.331,35094,27286,258.3807,280.7502,227.7131,0.0,30.6676,22.3695,estimated,68
three_tier_to,45,32,cold,5706.694,40839,33031,256.1816,290.5162,225.514,0.0,30.6676,34.3346,estimated,68
three_tier_to,18,37,cold,5590.301,41112,33304,249.8487,409.2462,219.1811,0.0,30.6676,159.3975,estimated,68
three_tier_to,28,33,cold,5724.38,33859,26051,264.7064,284.8287,234.0388,0.0,30.6676,20.1223,estimated,69
three_tier_to,43,35,cold,5735.302,26249,18441,256.3907,274.7954,225.7231,0.0,30.6676,18.4047,estimated,68
three_tier_to,19,30,cold,5566.235,36301,28493,251.5246,448.9258,220.857,0.0,30.6676,197.4012,estimated,69
three_tier_to,76,39,cold,5739.693,32958,25150,256.7453,275.5049,226.0777,0.0,30.6676,18.7596,estimated,67
three_tier_to,107,29,cold,5542.6,42463,34655,253.2741,479.4522,222.6065,0.0,30.6676,226.1781,estimated,69
three_tier_to,9,29,cold,5717.695,29658,21850,264.1131,309.0376,233.4455,0.0,30.6676,44.9245,estimated,69
three_tier_to,88,30,cold,5577.029,34932,27124,248.4737,449.741,217.8061,0.0,30.6676,201.2673,estimated,68
three_tier_to,35,39,cold,5662.106,26430,18622,259.9899,371.9807,229.3223,0.0,30.6676,111.9908,estimated,68
three_tier_to,25,32,cold,5750.197,46391,38583,256.0756,283.8898,225.408,0.0,30.6676,27.8142,estimated,66
three_tier_to,53,32,cold,5433.502,34040,26232,260.7025,611.0425,230.0349,0.0,30.6676,350.34,estimated,70
three_tier_to,95,37,cold,5752.669,31386,23578,256.4256,292.9097,225.758,0.0,30.6676,36.4841,estimated,66
three_tier_to,121,36,cold,5763.073,39416,31608,251.7925,289.2601,221.1249,0.0,30.6676,37.4676,estimated,65
three_tier_to,68,33,cold,5765.604,36545,28737,256.1528,289.4436,225.4852,0.0,30.6676,33.2908,estimated,65
three_tier_to,67,37,cold,5501.77,37254,29446,253.1883,560.2327,222.5207,0.0,30.6676,307.0444,estimated,71
three_tier_to,93,35,cold,5767.563,36583,28775,263.4078,294.4781,232.7402,0.0,30.6676,31.0703,estimated,67
three_tier_to,6,30,cold,5605.231,30011,22203,244.6832,462.7788,214.0156,0.0,30.6676,218.0956,estimated,67
three_tier_to,82,32,cold,5790.798,29191,21383,253.1826,277.2804,222.515,0.0,30.6676,24.0978,estimated,66
three_tier_to,80,35,cold,5776.095,37070,29262,262.305,297.0905,231.6374,0.0,30.6676,34.7855,estimated,67
three_tier_to,127,37,cold,5787.469,33294,25486,254.165,288.4358,223.4974,0.0,30.6676,34.2708,estimated,65
three_tier_to,114,36,cold,5797.605,29900,22092,257.3325,282.0567,226.6649,0.0,30.6676,24.7242,estimated,66
three_tier_to,60,37,cold,5806.787,34388,26580,254.5685,272.9466,223.9009,0.0,30.6676,18.3781,estimated,66
three_tier_to,0,34,cold,5717.572,27380,19572,260.2149,368.3999,229.5473,0.0,30.6676,108.185,estimated,69
three_tier_to,123,32,cold,5773.83,31357,23549,259.885,312.2513,229.2174,0.0,30.6676,52.3663,estimated,67
three_tier_to,3,31,cold,5800.561,30692,22884,257.3337,294.546,226.6661,0.0,30.6676,37.2123,estimated,66
three_tier_to,120,38,cold,5821.001,31238,23430,251.9222,274.1069,221.2546,0.0,30.6676,22.1847,estimated,66
three_tier_to,59,33,cold,5609.219,40000,32192,253.5292,494.7344,222.8616,0.0,30.6676,241.2052,estimated,68
three_tier_to,108,31,cold,5767.191,37156,29348,259.1359,340.7221,228.4683,0.0,30.6676,81.5862,estimated,67
three_tier_to,38,36,cold,5829.142,31452,23644,253.4794,282.3314,222.8118,0.0,30.6676,28.852,estimated,66
three_tier_to,30,26,cold,5522.711,28859,21051,252.0646,591.7983,221.397,0.0,30.6676,339.7337,estimated,70
three_tier_to,21,35,cold,5841.072,33863,26055,261.2153,277.7814,230.5477,0.0,30.6676,16.5661,estimated,67
three_tier_to,39,31,cold,5835.426,35215,27407,263.7148,288.2838,233.0472,0.0,30.6676,24.569,estimated,68
three_tier_to,33,31,cold,5426.697,37944,30136,253.5993,701.9906,222.9317,0.0,30.6676,448.3913,estimated,70
three_tier_to,115,34,cold,5832.817,50617,42809,261.2701,300.0036,230.6025,0.0,30.6676,38.7335,estimated,66
three_tier_to,69,37,cold,5849.853,30142,22334,264.3466,288.0738,233.679,0.0,30.6676,23.7272,estimated,68
three_tier_to,41,37,cold,5808.632,31111,23303,256.285,333.5228,225.6174,0.0,30.6676,77.2378,estimated,66
three_tier_to,75,33,cold,5857.467,36022,28214,261.0795,287.9842,230.4119,0.0,30.6676,26.9047,estimated,66
three_tier_to,105,36,cold,5882.737,34205,26397,258.7678,263.2466,228.1002,0.0,30.6676,4.4788,estimated,67
three_tier_to,99,37,cold,5860.496,30419,22611,266.0305,285.4878,235.3629,0.0,30.6676,19.4573,estimated,67
three_tier_to,24,23,cold,5875.165,25223,17415,253.0787,280.4366,222.4111,0.0,30.6676,27.3579,estimated,65
three_tier_to,102,30,cold,5860.269,36543,28735,262.6323,295.407,231.9647,0.0,30.6676,32.7747,estimated,67
three_tier_to,94,37,cold,5879.732,27310,19502,255.5031,283.1273,224.8355,0.0,30.6676,27.6242,estimated,65
three_tier_to,124,35,cold,5881.859,30994,23186,255.9537,284.8778,225.2861,0.0,30.6676,28.9241,estimated,66
three_tier_to,44,33,cold,5703.032,35219,27411,249.1835,463.7797,218.5159,0.0,30.6676,214.5962,estimated,67
three_tier_to,5,34,cold,5739.947,24456,16648,259.0051,433.1904,228.3375,0.0,30.6676,174.1853,estimated,67
three_tier_to,8,33,cold,5692.377,37191,29383,255.4901,481.4554,224.8225,0.0,30.6676,225.9653,estimated,68
three_tier_to,14,29,cold,5711.525,36503,28695,255.6752,469.1142,225.0076,0.0,30.6676,213.439,estimated,68
three_tier_to,10,34,cold,5896.674,39791,31983,258.7784,286.3626,228.1108,0.0,30.6676,27.5842,estimated,65
three_tier_to,36,36,cold,5912.569,34993,27185,254.093,277.5684,223.4254,0.0,30.6676,23.4754,estimated,65
three_tier_to,61,37,cold,5900.664,35043,27235,258.9257,289.5121,228.2581,0.0,30.6676,30.5864,estimated,66
three_tier_to,58,24,cold,5878.419,34591,26783,253.9581,317.6336,223.2905,0.0,30.6676,63.6755,estimated,65
three_tier_to,79,37,cold,5910.057,31795,23987,252.2754,289.4636,221.6078,0.0,30.6676,37.1882,estimated,64
three_tier_to,106,31,cold,5716.612,39203,33379,259.4755,487.3199,228.8079,0.0,30.6676,227.8444,estimated,69
three_tier_to,100,35,cold,5924.618,33561,25753,255.7162,284.4327,225.0486,0.0,30.6676,28.7165,estimated,65
three_tier_to,63,38,cold,5933.912,29501,21693,258.9004,278.3217,228.2328,0.0,30.6676,19.4213,estimated,66
three_tier_to,111,35,cold,5832.142,33266,25458,253.681,381.3888,223.0134,0.0,30.6676,127.7078,estimated,66
three_tier_to,113,33,cold,5895.739,39055,31247,254.9573,323.9941,224.2897,0.0,30.6676,69.0368,estimated,65
three_tier_to,54,20,cold,5557.473,28588,20780,251.9779,662.2992,221.3103,0.0,30.6676,410.3213,estimated,68
three_tier_to,31,26,cold,5926.716,47782,39974,263.3465,300.2472,232.6789,0.0,30.6676,36.9007,estimated,65
three_tier_to,66,31,cold,5912.946,34202,26394,257.6862,314.017,227.0186,0.0,30.6676,56.3308,estimated,65
three_tier_to,83,36,cold,5937.317,31660,23852,261.7405,289.6755,231.0729,0.0,30.6676,27.935,estimated,66
three_tier_to,32,34,cold,5883.302,29085,21277,261.3878,354.6688,230.7202,0.0,30.6676,93.281,estimated,67
three_tier_to,96,39,cold,5950.274,28387,20579,258.6208,291.0336,227.9532,0.0,30.6676,32.4128,estimated,67
three_tier_to,37,25,cold,5950.789,31025,23217,261.1724,293.8644,230.5048,0.0,30.6676,32.692,estimated,67
three_tier_to,7,19,cold,5955.291,20099,12291,258.0041,289.437,227.3365,0.0,30.6676,31.4329,estimated,67
three_tier_to,71,31,cold,5794.204,45424,37616,257.839,455.2939,227.1714,0.0,30.6676,197.4549,estimated,66
three_tier_to,72,27,cold,5644.191,33691,25883,256.9284,608.7197,226.2608,0.0,30.6676,351.7913,estimated,68
three_tier_to,126,37,cold,5955.393,40618,32810,263.2833,305.0999,232.6157,0.0,30.6676,41.8166,estimated,67
three_tier_to,22,24,cold,5970.223,31004,23196,259.6101,295.6171,228.9425,0.0,30.6676,36.007,estimated,67
three_tier_to,48,32,cold,5955.474,36507,28699,268.4769,310.8845,237.8093,0.0,30.6676,42.4076,estimated,67
three_tier_to,118,38,cold,5983.269,39366,31558,266.153,288.5975,235.4854,0.0,30.6676,22.4445,estimated,68
three_tier_to,42,18,cold,5810.099,26443,18635,260.2442,467.9323,229.5766,0.0,30.6676,207.6881,estimated,66
three_tier_to,50,33,cold,5809.37,32397,24589,258.5976,468.8195,227.93,1.331,30.6676,210.2219,estimated,66
three_tier_to,62,33,cold,5945.357,30076,22268,261.3197,337.27,230.6521,0.0,30.6676,75.9503,estimated,67
three_tier_to,116,33,cold,5825.165,32466,24658,253.9732,464.049,223.3056,0.0,30.6676,210.0758,estimated,67
three_tier_to,2,34,cold,5978.053,40718,32910,259.8447,311.2144,229.1771,0.0,30.6676,51.3697,estimated,68
three_tier_to,49,39,cold,5993.963,36263,28455,263.1753,302.0724,232.5077,0.0,30.6676,38.8971,estimated,68
three_tier_to,52,38,cold,5970.125,32938,25130,256.7909,333.1774,226.1233,0.0,30.6676,76.3865,estimated,67
three_tier_to,103,37,cold,5989.41,30948,23140,262.9284,314.4522,232.2608,0.0,30.6676,51.5238,estimated,69
three_tier_to,28,34,cold,6010.012,34281,26473,265.7387,293.9249,235.0711,0.0,30.6676,28.1862,estimated,69
three_tier_to,16,29,cold,5765.603,29466,21658,252.2392,545.4021,221.5716,0.0,30.6676,293.1629,estimated,65
three_tier_to,77,31,cold,5847.693,35687,27879,260.182,468.1194,229.5144,0.0,30.6676,207.9374,estimated,66
three_tier_to,15,35,cold,5724.342,33597,25789,261.6946,596.5961,231.027,0.0,30.6676,334.9015,estimated,69
three_tier_to,25,33,cold,6034.958,46913,39105,267.9613,291.2371,237.2937,0.0,30.6676,23.2758,estimated,67
three_tier_to,88,31,cold,6034.342,35979,28171,261.6392,297.9453,230.9716,0.0,30.6676,36.3061,estimated,67
three_tier_to,19,31,cold,6022.461,37109,29301,259.9022,314.0913,229.2346,0.0,30.6676,54.1891,estimated,67
three_tier_to,12,35,cold,5997.022,31524,23716,262.8062,343.7453,232.1386,0.0,30.6676,80.9391,estimated,69
three_tier_to,95,38,cold,6058.039,31919,24111,252.5559,282.9201,221.8883,0.0,30.6676,30.3642,estimated,64
three_tier_to,82,33,cold,6068.681,29299,21491,260.1534,280.5389,229.4858,0.0,30.6676,20.3855,estimated,65
three_tier_to,127,38,cold,6083.245,34137,26329,252.6206,266.0991,221.953,0.0,30.6676,13.4785,estimated,62
three_tier_to,68,34,cold,6062.311,36741,28933,252.8419,292.9736,222.1743,0.0,30.6676,40.1317,estimated,65
three_tier_to,121,37,cold,6064.738,39852,32044,261.0838,290.5996,230.4162,0.0,30.6676,29.5158,estimated,64
three_tier_to,86,36,cold,5943.138,34250,26442,259.9465,421.1764,229.2789,0.0,30.6676,161.2299,estimated,67
three_tier_to,123,33,cold,6087.029,31676,23868,265.3295,282.5589,234.6619,0.0,30.6676,17.2294,estimated,64
three_tier_to,110,33,cold,5935.728,33362,25554,260.2815,433.9488,229.6139,0.0,30.6676,173.6673,estimated,66
three_tier_to,27,33,cold,5975.096,32437,24629,257.8361,400.1384,227.1685,0.0,30.6676,142.3023,estimated,68
three_tier_to,80,36,cold,6085.596,37567,29759,259.7841,294.0236,229.1165,0.0,30.6676,34.2395,estimated,62
three_tier_to,114,37,cold,6086.933,30225,22417,260.9601,292.7399,230.2925,0.0,30.6676,31.7798,estimated,64
three_tier_to,3,32,cold,6095.729,30818,23010,259.3946,287.7797,228.727,0.0,30.6676,28.3851,estimated,65
three_tier_to,73,35,cold,5847.75,33264,25456,263.5277,543.9136,232.8601,0.0,30.6676,280.3859,estimated,66
three_tier_to,29,36,cold,5979.726,31285,23477,261.1645,416.0544,230.4969,0.0,30.6676,154.8899,estimated,68
three_tier_to,120,39,cold,6104.808,31785,23977,253.5014,292.18,222.8338,0.0,30.6676,38.6786,estimated,64
three_tier_to,60,38,cold,6122.608,34929,27121,256.3159,279.2547,225.6483,0.0,30.6676,22.9388,estimated,64
three_tier_to,93,36,cold,6084.468,36812,29004,256.2437,317.4719,225.5761,0.0,30.6676,61.2282,estimated,62
three_tier_to,59,34,cold,6111.334,41028,33220,258.1474,300.7814,227.4798,0.0,30.6676,42.634,estimated,65
three_tier_to,21,36,cold,6126.186,35015,27207,257.2525,289.6084,226.5849,0.0,30.6676,32.3559,estimated,64
three_tier_to,38,37,cold,6112.185,31579,23771,260.3823,306.6794,229.7147,0.0,30.6676,46.2971,estimated,65
three_tier_to,26,27,cold,5913.9,29250,21442,258.8593,509.2882,228.1917,0.0,30.6676,250.4289,estimated,64
