arm,conv,turn,tier,t_send,prompt,uncached,ttft,latency,queue,l3_read,prefill,decode,how,qdepth
three_tier_wc,9,1,device,7.515,8687,47,10.6582,13.4784,4.2445,0.0,6.4137,2.8202,estimated,37
three_tier_wc,47,1,device,7.5,8317,61,10.6017,13.5245,4.188,0.0,6.4137,2.9228,estimated,37
three_tier_wc,51,1,device,8.04,8394,74,10.1338,13.0855,3.7201,0.0,6.4137,2.9517,estimated,36
three_tier_wc,16,1,device,9.294,9750,86,9.1007,13.2776,2.687,0.0,6.4137,4.1769,estimated,36
three_tier_wc,61,1,device,8.253,9698,34,10.0625,14.3183,3.6488,0.0,6.4137,4.2558,estimated,36
three_tier_wc,23,1,device,8.701,8301,45,9.6928,14.5497,3.2791,0.0,6.4137,4.8569,estimated,36
three_tier_wc,0,1,device,9.072,8328,72,9.3225,14.3592,2.9088,0.0,6.4137,5.0367,estimated,37
three_tier_wc,33,1,device,11.683,8533,85,8.964,11.9389,2.5503,0.0,6.4137,2.9749,estimated,36
three_tier_wc,32,1,device,9.856,9964,44,9.5533,13.8755,3.1396,0.0,6.4137,4.3222,estimated,37
three_tier_wc,11,1,device,9.374,8494,46,9.0852,14.4274,2.6715,0.0,6.4137,5.3422,estimated,36
three_tier_wc,4,1,device,9.971,8813,45,9.6125,14.6166,3.1988,0.0,6.4137,5.0041,estimated,37
three_tier_wc,54,1,device,10.566,8296,40,9.4772,14.1672,3.0635,0.0,6.4137,4.69,estimated,37
three_tier_wc,5,1,device,14.932,9921,193,6.8608,9.8212,0.4471,0.0,6.4137,2.9604,estimated,36
three_tier_wc,22,1,device,11.302,9956,36,8.9536,13.5837,2.5399,0.0,6.4137,4.6301,estimated,36
three_tier_wc,21,1,device,9.414,11107,35,9.5376,15.4719,3.1239,0.0,6.4137,5.9343,estimated,36
three_tier_wc,48,1,device,10.046,8409,89,9.755,14.9837,3.3413,0.0,6.4137,5.2287,estimated,37
three_tier_wc,27,1,device,12.508,8569,57,8.2974,12.6013,1.8837,0.0,6.4137,4.3039,estimated,36
three_tier_wc,72,1,device,17.026,8327,71,5.1826,8.2477,0.0,0.0,5.1826,3.0651,estimated,36
three_tier_wc,87,1,device,17.873,8318,62,4.6561,7.589,0.0,0.0,4.6561,2.9329,estimated,36
three_tier_wc,71,1,device,18.579,10085,37,4.2428,6.8827,0.0,0.0,4.2428,2.6399,estimated,36
three_tier_wc,12,1,device,11.134,8317,61,8.9098,14.3577,2.4961,0.0,6.4137,5.4479,estimated,36
three_tier_wc,44,1,device,9.542,8455,71,9.6889,15.9494,3.2752,0.0,6.4137,6.2605,estimated,36
