arm,conv,turn,tier,t_send,prompt,uncached,ttft,latency,queue,l3_read,prefill,decode,how,qdepth
hbm_host,47,1,device,10.128,8317,61,7.8897,10.8119,1.476,0.0,6.4137,2.9222,estimated,36
hbm_host,51,1,device,10.303,8394,74,7.7935,10.7186,1.3798,0.0,6.4137,2.9251,estimated,37
hbm_host,9,1,device,10.363,8687,47,7.8728,10.7334,1.4591,0.0,6.4137,2.8606,estimated,37
hbm_host,61,1,device,10.231,9698,34,7.8656,12.0843,1.4519,0.0,6.4137,4.2187,estimated,37
hbm_host,16,1,device,11.544,9750,86,6.7703,10.9533,0.3566,0.0,6.4137,4.183,estimated,36
hbm_host,32,1,device,11.932,9964,44,6.4522,10.598,0.0385,0.0,6.4137,4.1458,estimated,36
hbm_host,23,1,device,10.646,8301,45,7.6682,12.5703,1.2545,0.0,6.4137,4.9021,estimated,36
hbm_host,0,1,device,11.838,8328,72,6.4765,11.5558,0.0628,0.0,6.4137,5.0793,estimated,36
hbm_host,33,1,device,13.909,8533,85,6.511,9.5347,0.0973,0.0,6.4137,3.0237,estimated,37
hbm_host,54,1,device,12.585,8296,40,7.1293,11.7997,0.7156,0.0,6.4137,4.6704,estimated,36
hbm_host,4,1,device,12.354,8813,45,7.1499,12.0978,0.7362,0.0,6.4137,4.9479,estimated,36
hbm_host,22,1,device,13.856,9956,36,6.318,10.8949,0.0,0.0,6.318,4.5769,estimated,37
hbm_host,11,1,device,12.321,8494,46,7.0078,12.4663,0.5941,0.0,6.4137,5.4585,estimated,36
hbm_host,44,1,device,12.06,8455,71,6.8105,12.9178,0.3968,0.0,6.4137,6.1073,estimated,36
hbm_host,27,1,device,14.997,8569,57,5.7368,9.9806,0.0,0.0,5.7368,4.2438,estimated,36
hbm_host,72,1,device,19.711,8327,71,2.4262,5.3344,0.0,0.0,2.4262,2.9082,estimated,36
hbm_host,21,1,device,12.197,11107,35,6.9581,12.9296,0.5444,0.0,6.4137,5.9715,estimated,36
hbm_host,71,1,device,20.716,10085,37,1.8916,4.4123,0.0,0.0,1.8916,2.5207,estimated,32
hbm_host,48,1,device,13.059,8409,89,6.9052,12.1388,0.4915,0.0,6.4137,5.2336,estimated,36
hbm_host,87,1,device,20.3,8318,62,2.0894,4.9773,0.0,0.0,2.0894,2.8879,estimated,32
hbm_host,96,1,device,20.692,8313,57,1.7795,4.5854,0.0,0.0,1.7795,2.8059,estimated,32
hbm_host,12,1,device,13.262,8317,61,6.7023,12.1668,0.2886,0.0,6.4137,5.4645,estimated,36
hbm_host,99,1,device,21.222,8351,95,1.4544,4.2085,0.0,0.0,1.4544,2.7541,estimated,24
hbm_host,94,1,device,20.995,8266,74,1.6128,4.4756,0.0,0.0,1.6128,2.8628,estimated,26
hbm_host,55,1,device,12.708,8314,58,7.0066,12.9809,0.5929,0.0,6.4137,5.9743,estimated,36
hbm_host,25,1,device,16.221,8713,73,5.3545,9.5023,0.0,0.0,5.3545,4.1478,estimated,36
hbm_host,1,1,device,12.462,8579,67,7.1119,13.292,0.6982,0.0,6.4137,6.1801,estimated,36
hbm_host,53,1,device,13.866,8606,94,6.3786,12.0408,0.0,0.0,6.3786,5.6622,estimated,37
hbm_host,60,1,device,12.728,10217,41,7.1654,13.4168,0.7517,0.0,6.4137,6.2514,estimated,36
hbm_host,41,1,device,15.178,8672,96,5.8069,10.9662,0.0,0.0,5.8069,5.1593,estimated,36
hbm_host,19,1,device,13.571,8371,51,6.5305,12.6092,0.1168,0.0,6.4137,6.0787,estimated,37
hbm_host,109,1,device,22.009,8280,88,1.5682,4.204,0.0,0.0,1.5682,2.6358,estimated,16
hbm_host,50,1,device,14.665,9921,65,6.0693,11.6979,0.0,0.0,6.0693,5.6286,estimated,36
hbm_host,42,1,device,14.998,9859,67,5.9072,11.623,0.0,0.0,5.9072,5.7158,estimated,36
hbm_host,57,1,device,15.951,8534,86,5.1822,10.7058,0.0,0.0,5.1822,5.5236,estimated,36
hbm_host,8,1,device,14.279,9879,87,6.4553,12.4854,0.0416,0.0,6.4137,6.0301,estimated,38
hbm_host,28,1,device,15.074,8610,34,5.9116,11.9583,0.0,0.0,5.9116,6.0467,estimated,36
hbm_host,18,1,device,13.93,8661,85,6.6309,13.1382,0.2172,0.0,6.4137,6.5073,estimated,37
hbm_host,20,1,device,17.719,10572,76,4.0064,9.4523,0.0,0.0,4.0064,5.4459,estimated,37
hbm_host,10,1,device,15.345,10443,75,5.7178,11.8262,0.0,0.0,5.7178,6.1084,estimated,36
hbm_host,14,1,device,18.93,8641,65,3.1308,8.2723,0.0,0.0,3.1308,5.1415,estimated,36
hbm_host,56,1,device,14.112,12920,56,6.5318,13.1902,0.1181,0.0,6.4137,6.6584,estimated,36
hbm_host,24,1,device,20.987,10366,62,1.6212,6.3719,0.0,0.0,1.6212,4.7507,estimated,26
hbm_host,74,1,device,21.765,11358,94,1.3081,5.7297,0.0,0.0,1.3081,4.4216,estimated,19
hbm_host,34,1,device,15.297,9789,61,5.6886,12.2293,0.0,0.0,5.6886,6.5407,estimated,36
hbm_host,2,1,device,18.402,10624,64,3.4036,9.1246,0.0,0.0,3.4036,5.721,estimated,36
hbm_host,49,1,device,15.133,8989,93,5.8521,12.4532,0.0,0.0,5.8521,6.6011,estimated,36
hbm_host,38,1,device,18.686,8340,84,3.119,8.9299,0.0,0.0,3.119,5.8109,estimated,36
hbm_host,17,1,device,17.76,8928,96,3.9654,9.8858,0.0,0.0,3.9654,5.9204,estimated,36
hbm_host,52,1,device,17.252,11039,95,4.3242,10.4823,0.0,0.0,4.3242,6.1581,estimated,36
hbm_host,75,1,device,23.021,9880,88,1.9182,4.7431,1.5111,0.0,0.4071,2.8249,estimated,9
hbm_host,117,1,device,23.93,10287,47,1.3304,3.8934,0.0,0.0,1.3304,2.563,estimated,10
hbm_host,126,1,device,24.53,8370,50,0.8609,3.2934,0.0,0.0,0.8609,2.4325,estimated,12
hbm_host,30,1,device,15.782,8394,74,5.2807,12.0944,0.0,0.0,5.2807,6.8137,estimated,36
hbm_host,35,1,device,16.447,8924,92,5.1292,11.4302,0.0,0.0,5.1292,6.301,estimated,36
hbm_host,13,1,device,16.148,9049,89,5.1998,11.7532,0.0,0.0,5.1998,6.5534,estimated,36
hbm_host,67,1,device,21.531,8568,56,1.4739,6.4681,0.0,0.0,1.4739,4.9942,estimated,20
hbm_host,107,1,device,22.256,11859,83,1.4021,5.7677,0.0,0.0,1.4021,4.3656,estimated,14
hbm_host,69,1,device,21.236,8524,76,1.5108,6.788,0.0,0.0,1.5108,5.2772,estimated,24
hbm_host,26,1,device,18.286,9259,43,3.5194,9.8089,0.0,0.0,3.5194,6.2895,estimated,37
hbm_host,68,1,device,20.532,8317,61,1.9388,7.6122,0.0,0.0,1.9388,5.6734,estimated,32
hbm_host,7,1,device,16.193,8556,44,5.2955,11.952,0.0,0.0,5.2955,6.6565,estimated,36
hbm_host,45,1,device,17.706,11067,59,3.8694,10.5108,0.0,0.0,3.8694,6.6414,estimated,37
hbm_host,64,1,device,19.78,10040,56,2.3575,8.5348,0.0,0.0,2.3575,6.1773,estimated,36
hbm_host,58,1,device,19.527,8516,68,2.5333,8.7874,0.0,0.0,2.5333,6.2541,estimated,36
hbm_host,65,1,device,20.455,10164,52,1.9346,7.9062,0.0,0.0,1.9346,5.9716,estimated,32
hbm_host,40,1,device,18.776,10031,47,3.2844,9.8626,0.0,0.0,3.2844,6.5782,estimated,36
hbm_host,90,1,device,24.162,8594,82,1.1501,4.5009,0.0,0.0,1.1501,3.3508,estimated,10
hbm_host,110,1,device,24.18,9750,86,1.2116,4.6256,0.0,0.0,1.2116,3.414,estimated,10
hbm_host,77,1,device,24.87,10120,72,1.0042,4.0294,0.0,0.0,1.0042,3.0252,estimated,16
hbm_host,79,1,device,21.845,8525,77,1.4754,7.1242,0.0,0.0,1.4754,5.6488,estimated,16
hbm_host,104,1,device,23.414,8522,74,1.7501,5.5805,0.0,0.0,1.7501,3.8304,estimated,11
hbm_host,62,1,device,22.86,10661,37,1.763,6.1565,1.3559,0.0,0.4071,4.3935,estimated,8
hbm_host,84,1,device,23.153,10175,63,1.7854,5.8855,1.3783,0.0,0.4071,4.1001,estimated,9
hbm_host,73,1,device,22.632,8795,91,1.7134,6.4754,1.3063,0.0,0.4071,4.762,estimated,9
hbm_host,36,1,device,21.986,11085,77,1.5211,7.1448,0.0,0.0,1.5211,5.6237,estimated,16
hbm_host,86,1,device,22.757,8395,75,1.732,6.4181,1.3249,0.0,0.4071,4.6861,estimated,8
hbm_host,83,1,device,23.166,11785,73,1.9276,6.0316,1.5205,0.0,0.4071,4.104,estimated,9
hbm_host,70,1,device,22.451,8880,48,1.7485,6.7686,0.0,0.0,1.7485,5.0201,estimated,13
hbm_host,43,1,device,24.237,9226,74,1.1543,5.0052,0.0,0.0,1.1543,3.8509,estimated,11
hbm_host,102,1,device,24.563,10155,43,1.0651,4.7273,0.0,0.0,1.0651,3.6622,estimated,11
hbm_host,37,1,device,19.581,10041,57,2.5556,9.7259,0.0,0.0,2.5556,7.1703,estimated,36
hbm_host,82,1,device,23.41,8756,52,1.6837,5.9963,0.0,0.0,1.6837,4.3126,estimated,11
hbm_host,106,1,device,23.773,10090,42,1.4871,5.6503,0.0,0.0,1.4871,4.1632,estimated,10
hbm_host,3,1,device,16.077,8447,63,5.1257,13.3467,0.0,0.0,5.1257,8.221,estimated,36
hbm_host,118,1,device,24.996,12294,70,0.9605,4.4745,0.0,0.0,0.9605,3.514,estimated,15
hbm_host,92,1,device,24.646,8561,49,1.2284,4.8716,0.0,0.0,1.2284,3.6432,estimated,11
hbm_host,97,1,device,22.986,10107,59,1.8743,6.5633,1.4672,0.0,0.4071,4.689,estimated,8
hbm_host,100,1,device,24.56,8617,41,0.9772,5.1205,0.0,0.0,0.9772,4.1433,estimated,12
hbm_host,123,1,device,25.23,9792,64,0.8009,4.4647,0.0,0.0,0.8009,3.6638,estimated,13
hbm_host,122,1,device,25.783,10099,51,0.9468,3.9429,0.5397,0.0,0.4071,2.9961,estimated,9
hbm_host,112,1,device,25.275,8373,53,0.9751,4.4507,0.0,0.0,0.9751,3.4756,estimated,11
hbm_host,93,1,device,24.56,9901,45,0.9776,5.1807,0.0,0.0,0.9776,4.2031,estimated,12
hbm_host,124,1,device,27.28,10184,72,0.1211,2.4611,0.0,0.0,0.1211,2.34,estimated,0
hbm_host,63,1,device,25.823,11527,71,0.9888,3.9587,0.5817,0.0,0.4071,2.9699,estimated,9
hbm_host,125,1,device,25.908,10274,34,0.9771,3.8894,0.57,0.0,0.4071,2.9123,estimated,8
hbm_host,121,1,device,25.239,8282,90,1.0116,4.5706,0.0,0.0,1.0116,3.559,estimated,11
hbm_host,105,1,device,25.608,11170,34,0.8652,4.2409,0.0,0.0,0.8652,3.3757,estimated,10
hbm_host,114,1,device,25.368,8980,84,0.9565,4.607,0.0,0.0,0.9565,3.6505,estimated,12
hbm_host,98,1,device,25.453,8719,79,0.8719,4.6348,0.0,0.0,0.8719,3.7629,estimated,10
hbm_host,78,1,device,24.584,10485,53,1.2169,5.582,0.0,0.0,1.2169,4.3651,estimated,11
hbm_host,89,1,device,26.06,8504,56,1.0756,4.3025,0.6685,0.0,0.4071,3.2269,estimated,8
hbm_host,127,1,device,28.362,8774,70,0.0846,2.0426,0.0,0.0,0.0846,1.958,estimated,0
hbm_host,89,2,device,31.974,8706,66,0.0683,1.1519,0.0,0.0,0.0683,1.0836,estimated,0
