arm,conv,turn,tier,t_send,prompt,uncached,ttft,latency,queue,l3_read,prefill,decode,how,qdepth
three_tier_wc,47,1,device,10.512,8317,61,7.9308,10.8591,1.5171,0.0,6.4137,2.9283,estimated,36
three_tier_wc,51,1,device,10.705,8394,74,7.8166,10.7477,1.4029,0.0,6.4137,2.9311,estimated,37
three_tier_wc,9,1,device,10.763,8687,47,7.8972,10.764,1.4835,0.0,6.4137,2.8668,estimated,37
three_tier_wc,61,1,device,10.633,9698,34,7.8885,12.1134,1.4748,0.0,6.4137,4.2249,estimated,37
three_tier_wc,16,1,device,11.95,9750,86,6.789,10.9797,0.3753,0.0,6.4137,4.1907,estimated,36
three_tier_wc,32,1,device,12.341,9964,44,6.4683,10.6212,0.0546,0.0,6.4137,4.1529,estimated,36
three_tier_wc,23,1,device,11.053,8301,45,7.686,12.5963,1.2723,0.0,6.4137,4.9103,estimated,36
three_tier_wc,0,1,device,12.243,8328,72,6.4952,11.5831,0.0815,0.0,6.4137,5.0879,estimated,36
three_tier_wc,33,1,device,14.325,8533,85,6.5241,9.5514,0.1104,0.0,6.4137,3.0273,estimated,37
three_tier_wc,54,1,device,12.996,8296,40,7.1456,11.8224,0.7319,0.0,6.4137,4.6768,estimated,36
three_tier_wc,4,1,device,12.764,8813,45,7.1675,12.1219,0.7538,0.0,6.4137,4.9544,estimated,36
three_tier_wc,22,1,device,14.269,9956,36,6.3333,10.9157,0.0,0.0,6.3333,4.5824,estimated,37
three_tier_wc,11,1,device,12.726,8494,46,7.0296,12.4958,0.6159,0.0,6.4137,5.4662,estimated,36
three_tier_wc,44,1,device,12.467,8455,71,6.8288,12.9454,0.4151,0.0,6.4137,6.1166,estimated,36
three_tier_wc,27,1,device,15.414,8569,57,5.7458,9.9986,0.0,0.0,5.7458,4.2528,estimated,36
three_tier_wc,72,1,device,20.135,8327,71,2.4332,5.3458,0.0,0.0,2.4332,2.9126,estimated,36
three_tier_wc,21,1,device,12.604,11107,35,6.9781,12.9586,0.5644,0.0,6.4137,5.9805,estimated,36
three_tier_wc,71,1,device,21.141,10085,37,1.8977,4.4227,0.0,0.0,1.8977,2.525,estimated,32
three_tier_wc,48,1,device,13.467,8409,89,6.9249,12.1662,0.5112,0.0,6.4137,5.2413,estimated,36
three_tier_wc,87,1,device,20.725,8318,62,2.0946,4.9872,0.0,0.0,2.0946,2.8926,estimated,32
three_tier_wc,96,1,device,21.118,8313,57,1.7821,4.5949,0.0,0.0,1.7821,2.8128,estimated,32
