arm,turns,conversations,wall_s,turn0_ttft_p50,ret_ttft_mean,ret_ttft_p50,ret_ttft_p90,ret_ttft_p99,ret_uncached_mean,ret_uncached_total,t95_done_s,uncached_total,hits_device,hits_host,hits_storage,cold_returns,d2h_tokens,h2d_tokens,h2s_tokens,s2h_tokens,evict_device_tokens,evict_host_tokens,peak_queue
hbm_host,4676,128,8627.9,7.46,130.501,150.557,262.31,279.501,12411,56446457,7751.1,56667561,560,1320,0,2668,57534592,15467648,0,0,72339584,55914560,77
three_tier_to,4676,128,8686.5,7.45,131.165,148.867,261.833,279.337,12511,56898841,7788.5,57119945,560,1288,3,2697,57967168,14929920,57967168,268096,72230592,56612736,78
three_tier_wc,4676,128,8679.2,7.57,131.405,149.257,262.312,278.675,12527,56973418,7791.0,57194522,566,1275,2,2705,58041792,14841216,58041792,259904,72219136,56681664,76
hbm_lru,4561,128,9109.5,7.37,149.985,155.22,264.448,280.314,15871,70354748,8059.9,70575852,805,0,0,3628,0,0,0,0,70704384,0,76
