#Conversations: 283  turns: 13989  concurrency: 80 (cap), arrival 0.1 conv/s  gap x1.0  thinking: off
conv 171 done: 50 turns, 6681 s elapsed
conv 112 done: 50 turns, 6764 s elapsed
conv 190 done: 50 turns, 6777 s elapsed
conv 59 done: 50 turns, 6817 s elapsed
conv 78 done: 50 turns, 6836 s elapsed
conv 16 done: 50 turns, 6850 s elapsed
conv 140 done: 50 turns, 6858 s elapsed
conv 162 done: 50 turns, 6870 s elapsed
conv 166 done: 50 turns, 6956 s elapsed
conv 191 done: 50 turns, 6963 s elapsed
conv 163 done: 50 turns, 6964 s elapsed
conv 50 done: 50 turns, 6995 s elapsed
conv 194 done: 50 turns, 7062 s elapsed
conv 133 done: 50 turns, 7117 s elapsed
conv 203 done: 50 turns, 7137 s elapsed
conv 154 done: 50 turns, 7175 s elapsed
conv 155 done: 50 turns, 7197 s elapsed
conv 121 done: 49 turns, 7222 s elapsed
summary: {"kind": "summary", "tag": "cmp_three_tier_wc", "elapsed_s": 7225.3, "turns": 9522, "controls": 0, "errors": 0, "retries": 0, "capped_convs": 79, "capped": true, "mean_ttft_s": 0.3532, "mean_reply_reprefilled": 32.4}
