arm,turns,conversations,wall_s,turn0_ttft_p50,ret_ttft_mean,ret_ttft_p50,ret_ttft_p90,ret_ttft_p99,ret_uncached_mean,ret_uncached_total,t95_done_s,uncached_total,hits_device,hits_host,hits_storage,cold_returns,d2h_tokens,h2d_tokens,h2s_tokens,s2h_tokens,evict_device_tokens,evict_host_tokens,peak_queue
hbm_host,9358,228,7226.5,0.22,0.451,0.265,0.62,4.902,927,8464346,6910.5,8953393,7957,1014,0,159,10685696,20156992,0,0,30174784,9059520,6
three_tier_to,9523,233,7223.6,0.26,0.351,0.284,0.565,1.366,550,5110363,6873.1,5606086,8276,829,185,0,7371904,19769920,7371904,3526016,26474048,9299392,3
three_tier_wc,9522,233,7225.3,0.25,0.355,0.291,0.57,1.348,551,5117875,6870.7,5613598,8283,821,185,0,7379456,19602944,7379456,3530176,26314496,9305792,3
hbm_lru,3832,113,7356.9,0.25,53.654,14.6,141.747,170.73,11338,42165954,6747.3,42401028,1939,0,0,1780,0,0,0,0,42461824,0,51
