conv,turn,t0,ttft,lat,tier,prompt,cached,uncached,host,storage,gap,rid
0,0,0.001,0.4236554349990911,1.8508,cold,10126,0,10126,0,0,0.0,cmp_three_tier_to-c0-t0
0,1,2.02,0.07083106600111932,1.6996,device,10317,10240,77,0,0,0.167,cmp_three_tier_to-c0-t1
1,0,18.609,0.4067284990014741,2.6506,device,14018,7808,6210,0,0,0.0,cmp_three_tier_to-c1-t0
2,0,32.798,0.39939673299886636,1.7332,device,13956,7808,6148,0,0,0.0,cmp_three_tier_to-c2-t0
2,1,34.548,0.09381383799700416,0.8682,device,14263,14016,247,0,0,0.017,cmp_three_tier_to-c2-t1
2,2,36.327,0.2011031459987862,1.0832,device,15770,14272,1498,0,0,0.909,cmp_three_tier_to-c2-t2
2,3,37.411,0.0966368940025859,1.5851,device,15877,15808,69,0,0,0.0,cmp_three_tier_to-c2-t3
3,0,38.255,0.26400966200162657,1.4348,device,11183,7808,3375,0,0,0.0,cmp_three_tier_to-c3-t0
3,1,39.714,0.08147544999883394,0.6133,device,11479,11264,215,0,0,0.023,cmp_three_tier_to-c3-t1
3,2,40.329,0.1633592670004873,1.7781,device,12972,11520,1452,0,0,0.0,cmp_three_tier_to-c3-t2
4,0,41.252,0.22192315600113943,1.1181,device,10626,7808,2818,0,0,0.0,cmp_three_tier_to-c4-t0
4,1,42.372,0.07050714099750621,1.3337,device,10744,10688,56,0,0,0.001,cmp_three_tier_to-c4-t1
3,3,42.763,0.09609857200121041,1.071,device,13191,13056,135,0,0,0.655,cmp_three_tier_to-c3-t3
4,2,43.717,0.09446528400076204,2.1975,device,11045,10816,229,0,0,0.011,cmp_three_tier_to-c4-t2
2,4,43.877,0.769542553996871,3.1377,device,21598,15936,5662,0,0,4.882,cmp_three_tier_to-c2-t4
4,3,45.916,0.19038809199992102,1.6699,device,12546,11072,1474,0,0,0.001,cmp_three_tier_to-c4-t3
1,1,46.19,0.10997413999939454,2.8105,device,14250,14208,42,0,0,24.929,cmp_three_tier_to-c1-t1
4,4,47.594,0.20347443799983012,1.6136,device,13664,12608,1056,0,0,0.007,cmp_three_tier_to-c4-t4
2,5,47.183,0.14600724600313697,2.9618,device,21777,21696,81,0,0,0.168,cmp_three_tier_to-c2-t5
5,0,48.413,0.24096010299763293,2.4607,device,10859,7808,3051,0,0,0.0,cmp_three_tier_to-c5-t0
4,5,49.209,0.227780144999997,1.9268,device,14983,13696,1287,0,0,0.001,cmp_three_tier_to-c4-t5
4,6,51.226,0.17106056099873967,1.2856,device,15670,15040,630,0,0,0.089,cmp_three_tier_to-c4-t6
4,7,53.014,0.11581830499926582,1.6834,device,15954,15744,210,0,0,0.502,cmp_three_tier_to-c4-t7
3,4,44.391,0.7558119479981542,10.9364,device,17575,13248,4327,0,0,0.556,cmp_three_tier_to-c3-t4
6,0,53.605,0.2554942060014582,2.2865,device,11102,7808,3294,0,0,0.0,cmp_three_tier_to-c6-t0
6,1,56.103,0.08975981699768454,0.9613,device,11424,11200,224,0,0,0.211,cmp_three_tier_to-c6-t1
6,2,57.068,0.18384177400002955,1.11,device,12923,11456,1467,0,0,0.002,cmp_three_tier_to-c6-t2
6,3,58.199,0.16379205499833915,1.4612,device,13652,12928,724,0,0,0.02,cmp_three_tier_to-c6-t3
6,4,60.504,0.43168938899907516,5.1571,device,16935,13696,3239,0,0,0.843,cmp_three_tier_to-c6-t4
6,5,65.726,0.1206773579979199,1.293,device,17400,17216,184,0,0,0.064,cmp_three_tier_to-c6-t5
1,2,66.415,0.12068821399952867,1.2349,device,14573,14336,237,0,0,17.414,cmp_three_tier_to-c1-t2
6,6,67.021,0.12834350599950994,1.1773,device,17568,17472,96,0,0,0.0,cmp_three_tier_to-c6-t6
1,3,67.699,0.23864692200004356,1.6239,device,16015,14592,1423,0,0,0.049,cmp_three_tier_to-c1-t3
6,7,68.199,0.13052051499835216,1.76,device,17704,17600,104,0,0,0.001,cmp_three_tier_to-c6-t7
7,0,68.92,0.3218438359981519,1.1552,device,11947,7808,4139,0,0,0.0,cmp_three_tier_to-c7-t0
6,8,70.043,0.12384313299844507,1.3519,device,17895,17728,167,0,0,0.083,cmp_three_tier_to-c6-t8
1,4,70.209,0.18846451599893044,1.3515,device,17030,16064,966,0,0,0.884,cmp_three_tier_to-c1-t4
8,0,72.535,0.1283459509977547,1.7173,device,8398,7808,590,0,0,0.0,cmp_three_tier_to-c8-t0
5,1,73.931,0.09678533899932518,1.1818,device,11170,10944,226,0,0,23.057,cmp_three_tier_to-c5-t1
1,5,73.18,0.2745130910006992,1.9985,device,18168,17088,1080,0,0,1.619,cmp_three_tier_to-c1-t5
8,1,74.334,0.08846430699850316,1.6192,device,8513,8448,65,0,0,0.081,cmp_three_tier_to-c8-t1
6,9,71.396,0.1313060040010896,5.5865,device,18045,17920,125,0,0,0.0,cmp_three_tier_to-c6-t9
5,2,75.123,0.20104413599983673,2.0968,device,12673,11200,1473,0,0,0.008,cmp_three_tier_to-c5-t2
8,2,75.96,0.08876497999881394,1.6286,device,8762,8512,250,0,0,0.006,cmp_three_tier_to-c8-t2
5,3,77.306,0.09966471000007004,1.4818,device,12792,12736,56,0,0,0.086,cmp_three_tier_to-c5-t3
8,3,77.591,0.08925584100143169,1.9162,device,8916,8832,84,0,0,0.001,cmp_three_tier_to-c8-t3
1,6,75.199,0.5072330910006713,4.3441,device,20595,18240,2355,0,0,0.019,cmp_three_tier_to-c1-t6
5,4,78.792,0.21122321599978022,1.82,device,14321,12864,1457,0,0,0.004,cmp_three_tier_to-c5-t4
8,4,79.542,0.092675979998603,1.2039,device,9077,8960,117,0,0,0.033,cmp_three_tier_to-c8-t4
9,0,79.01,0.19878233300187276,2.7121,device,9912,7808,2104,0,0,0.0,cmp_three_tier_to-c9-t0
3,5,55.432,0.19354646499778028,31.5386,device,18710,18112,598,0,0,0.104,cmp_three_tier_to-c3-t5
3,6,86.998,0.12333100600153557,1.3382,device,20711,20544,167,0,0,0.026,cmp_three_tier_to-c3-t6
10,0,87.766,0.13180313400152954,1.0563,device,8734,7808,926,0,0,0.0,cmp_three_tier_to-c10-t0
10,1,88.878,0.09433665599863161,1.0003,device,8984,8768,216,0,0,0.054,cmp_three_tier_to-c10-t1
3,7,88.451,0.127589847001218,7.2935,device,20856,20736,120,0,0,0.115,cmp_three_tier_to-c3-t7
8,5,93.517,0.0919132820017694,2.2758,device,9288,9088,200,0,0,12.77,cmp_three_tier_to-c8-t5
8,6,95.795,0.1652040160006436,1.2295,device,9710,9408,302,0,0,0.002,cmp_three_tier_to-c8-t6
8,7,102.012,0.5734447450013249,1.9104,device,16372,9728,6644,0,0,4.987,cmp_three_tier_to-c8-t7
3,8,95.755,0.12670616999821505,8.7996,device,21469,21312,157,0,0,0.01,cmp_three_tier_to-c3-t8
1,7,98.664,0.31669419999889215,10.3529,device,22188,20736,1452,0,0,19.121,cmp_three_tier_to-c1-t7
1,8,109.022,0.13743793700268725,1.454,device,23098,22720,378,0,0,0.005,cmp_three_tier_to-c1-t8
11,0,111.639,0.2127405169994745,2.735,device,9948,7808,2140,0,0,0.0,cmp_three_tier_to-c11-t0
5,5,112.85,0.13524335699912626,1.5795,device,14804,14400,404,0,0,32.238,cmp_three_tier_to-c5-t5
11,1,114.466,0.10610507499950472,1.2961,device,10259,10048,211,0,0,0.091,cmp_three_tier_to-c11-t1
7,1,115.429,0.09951758099850849,3.0163,device,12031,11968,63,0,0,45.352,cmp_three_tier_to-c7-t1
