conv,turn,t0,ttft,lat,tier,prompt,cached,uncached,host,storage,gap,rid
9,0,0.003,1.4118008840014227,6.9291,device,8603,7808,795,0,0,0.0,cmp_hbm_host-c9-t0
47,0,0.015,4.337899909998669,6.9349,device,8233,7808,425,0,0,0.0,cmp_hbm_host-c47-t0
5,0,0.002,1.4113469980002264,7.5275,device,9678,7808,1870,0,0,0.0,cmp_hbm_host-c5-t0
51,0,0.015,4.788621499003057,7.5351,device,8305,7808,497,0,0,0.0,cmp_hbm_host-c51-t0
61,0,0.018,5.516772081002273,7.7971,device,9606,7808,1798,0,0,0.0,cmp_hbm_host-c61-t0
23,0,0.01,2.1049156510016473,8.2566,device,8197,7808,389,0,0,0.0,cmp_hbm_host-c23-t0
0,0,0.001,1.4116422340011923,8.4969,cold,8219,0,8219,0,0,0.0,cmp_hbm_host-c0-t0
11,0,0.004,1.4115385679979227,8.7671,device,8379,7808,571,0,0,0.0,cmp_hbm_host-c11-t0
16,0,0.005,1.6681983470007253,8.8007,device,9634,7808,1826,0,0,0.0,cmp_hbm_host-c16-t0
21,0,0.009,2.1052859200026433,8.828,device,10990,7808,3182,0,0,0.0,cmp_hbm_host-c21-t0
44,0,0.014,3.886327849999361,8.9935,device,8337,7808,529,0,0,0.0,cmp_hbm_host-c44-t0
32,0,0.011,2.9997814819980704,9.4137,device,9843,7808,2035,0,0,0.0,cmp_hbm_host-c32-t0
48,0,0.015,4.337550142001419,9.4452,device,8287,7808,479,0,0,0.0,cmp_hbm_host-c48-t0
4,0,0.002,1.4115298849974351,9.4885,device,8690,7808,882,0,0,0.0,cmp_hbm_host-c4-t0
60,0,0.017,5.280306469001516,9.4896,device,10094,7808,2286,0,0,0.0,cmp_hbm_host-c60-t0
55,0,0.016,4.787763981999888,10.0728,device,8189,7808,381,0,0,0.0,cmp_hbm_host-c55-t0
1,0,0.001,1.4123694990012154,10.1221,device,8453,7808,645,0,0,0.0,cmp_hbm_host-c1-t0
54,0,0.016,4.787991327997588,10.1249,device,8170,7808,362,0,0,0.0,cmp_hbm_host-c54-t0
18,0,0.005,1.667693049999798,10.6203,device,8531,7808,723,0,0,0.0,cmp_hbm_host-c18-t0
12,0,0.004,1.4113022069977887,10.688,device,8185,7808,377,0,0,0.0,cmp_hbm_host-c12-t0
22,0,0.009,2.1050792720016034,10.7791,device,9823,7808,2015,0,0,0.0,cmp_hbm_host-c22-t0
19,0,0.005,1.66730154799734,11.0449,device,8237,7808,429,0,0,0.0,cmp_hbm_host-c19-t0
8,0,0.003,1.4120592979998037,11.0476,device,9746,7808,1938,0,0,0.0,cmp_hbm_host-c8-t0
33,0,0.012,2.9995372949997545,11.2093,device,8398,7808,590,0,0,0.0,cmp_hbm_host-c33-t0
50,0,0.015,4.33739490500011,11.4003,device,9785,7808,1977,0,0,0.0,cmp_hbm_host-c50-t0
