conv,turn,t0,ttft,lat,tier,prompt,cached,uncached,host,storage,gap,rid
9,0,0.003,1.4598050990025513,6.8719,device,8603,7808,795,0,0,0.0,cmp_hbm_lru-c9-t0
47,0,0.014,4.300207267006044,6.8625,device,8233,7808,425,0,0,0.0,cmp_hbm_lru-c47-t0
5,0,0.002,1.4591734610003186,7.4712,device,9678,7808,1870,0,0,0.0,cmp_hbm_lru-c5-t0
51,0,0.014,4.7535251950030215,7.4793,device,8305,7808,497,0,0,0.0,cmp_hbm_lru-c51-t0
61,0,0.017,5.4564827010035515,7.7425,device,9606,7808,1798,0,0,0.0,cmp_hbm_lru-c61-t0
23,0,0.009,2.0756563059985638,8.2039,device,8197,7808,389,0,0,0.0,cmp_hbm_lru-c23-t0
0,0,0.001,1.4594121469999664,8.4449,cold,8219,0,8219,0,0,0.0,cmp_hbm_lru-c0-t0
11,0,0.004,1.459380340995267,8.7147,device,8379,7808,571,0,0,0.0,cmp_hbm_lru-c11-t0
16,0,0.005,1.6354580929983058,8.7486,device,9634,7808,1826,0,0,0.0,cmp_hbm_lru-c16-t0
21,0,0.008,2.076056088000769,8.7769,device,10990,7808,3182,0,0,0.0,cmp_hbm_lru-c21-t0
44,0,0.013,3.846559805999277,8.9433,device,8337,7808,529,0,0,0.0,cmp_hbm_lru-c44-t0
32,0,0.011,2.9585383930025273,9.3594,device,9843,7808,2035,0,0,0.0,cmp_hbm_lru-c32-t0
48,0,0.014,4.300255144000403,9.3909,device,8287,7808,479,0,0,0.0,cmp_hbm_lru-c48-t0
4,0,0.002,1.45927204900363,9.4329,device,8690,7808,882,0,0,0.0,cmp_hbm_lru-c4-t0
60,0,0.016,5.237428057997022,9.4357,device,10094,7808,2286,0,0,0.0,cmp_hbm_lru-c60-t0
55,0,0.015,4.752473738000845,10.0172,device,8189,7808,381,0,0,0.0,cmp_hbm_lru-c55-t0
1,0,0.001,1.460170037993521,10.0652,device,8453,7808,645,0,0,0.0,cmp_hbm_lru-c1-t0
54,0,0.015,4.752783937998174,10.069,device,8170,7808,362,0,0,0.0,cmp_hbm_lru-c54-t0
18,0,0.005,1.635296013999323,10.5656,device,8531,7808,723,0,0,0.0,cmp_hbm_lru-c18-t0
12,0,0.004,1.4590514649971738,10.6331,device,8185,7808,377,0,0,0.0,cmp_hbm_lru-c12-t0
22,0,0.009,2.075820277997991,10.725,device,9823,7808,2015,0,0,0.0,cmp_hbm_lru-c22-t0
8,0,0.003,1.4600471919984557,10.9922,device,9746,7808,1938,0,0,0.0,cmp_hbm_lru-c8-t0
19,0,0.005,1.6350936099988758,10.9905,device,8237,7808,429,0,0,0.0,cmp_hbm_lru-c19-t0
33,0,0.011,2.9583135320062866,11.1545,device,8398,7808,590,0,0,0.0,cmp_hbm_lru-c33-t0
50,0,0.014,4.299838604005345,11.3466,device,9785,7808,1977,0,0,0.0,cmp_hbm_lru-c50-t0
29,0,0.01,2.519673287999467,11.4233,device,10525,7808,2717,0,0,0.0,cmp_hbm_lru-c29-t0
56,0,0.015,5.238334762994782,11.4388,device,12783,7808,4975,0,0,0.0,cmp_hbm_lru-c56-t0
53,0,0.015,4.753001636003319,11.4396,device,8469,7808,661,0,0,0.0,cmp_hbm_lru-c53-t0
27,0,0.01,2.5198797619959805,11.9355,device,8431,7808,623,0,0,0.0,cmp_hbm_lru-c27-t0
10,0,0.003,1.4596038810050231,11.9424,device,10305,7808,2497,0,0,0.0,cmp_hbm_lru-c10-t0
57,0,0.016,5.238067546997627,12.3382,device,8394,7808,586,0,0,0.0,cmp_hbm_lru-c57-t0
42,0,0.013,3.8467921090050368,12.3416,device,9719,7808,1911,0,0,0.0,cmp_hbm_lru-c42-t0
28,0,0.01,2.519555406004656,12.6167,device,8467,7808,659,0,0,0.0,cmp_hbm_lru-c28-t0
34,0,0.011,2.95800981100183,12.6158,device,9646,7808,1838,0,0,0.0,cmp_hbm_lru-c34-t0
15,0,0.004,1.6359120449997135,12.6585,device,9940,7808,2132,0,0,0.0,cmp_hbm_lru-c15-t0
41,0,0.013,3.847172778005188,12.6511,device,8528,7808,720,0,0,0.0,cmp_hbm_lru-c41-t0
13,0,0.004,1.6362807569967117,12.8855,device,8903,7808,1095,0,0,0.0,cmp_hbm_lru-c13-t0
30,0,0.01,2.9589778219960863,13.1018,device,8246,7808,438,0,0,0.0,cmp_hbm_lru-c30-t0
35,0,0.011,3.4022830940011772,13.1013,device,8776,7808,968,0,0,0.0,cmp_hbm_lru-c35-t0
49,0,0.014,4.300050253994414,13.1338,device,8840,7808,1032,0,0,0.0,cmp_hbm_lru-c49-t0
