conv,turn,t0,ttft,lat,tier,prompt,cached,uncached,host,storage,gap,rid
9,0,0.003,1.517641149002884,7.3576,device,8603,7808,795,0,0,0.0,cmp_three_tier_to-c9-t0
47,0,0.014,4.605635834996065,7.3649,device,8233,7808,425,0,0,0.0,cmp_three_tier_to-c47-t0
5,0,0.002,1.5165340570019907,7.7711,device,9678,7808,1870,0,0,0.0,cmp_three_tier_to-c5-t0
51,0,0.015,4.604744876996847,7.7799,device,8305,7808,497,0,0,0.0,cmp_three_tier_to-c51-t0
61,0,0.017,5.499572238004475,8.0443,device,9606,7808,1798,0,0,0.0,cmp_three_tier_to-c61-t0
23,0,0.009,2.3920502830005717,8.5021,device,8197,7808,389,0,0,0.0,cmp_three_tier_to-c23-t0
0,0,0.001,1.5175222680045408,8.7447,cold,8219,0,8219,0,0,0.0,cmp_three_tier_to-c0-t0
11,0,0.004,1.5171360439999262,9.0168,device,8379,7808,571,0,0,0.0,cmp_three_tier_to-c11-t0
16,0,0.005,1.9247277879985631,9.0511,device,9634,7808,1826,0,0,0.0,cmp_three_tier_to-c16-t0
21,0,0.009,2.3926911759990617,9.0783,device,10990,7808,3182,0,0,0.0,cmp_three_tier_to-c21-t0
44,0,0.014,4.162023466000392,9.244,device,8337,7808,529,0,0,0.0,cmp_three_tier_to-c44-t0
32,0,0.011,3.2754177389942924,9.665,device,9843,7808,2035,0,0,0.0,cmp_three_tier_to-c32-t0
48,0,0.014,4.605423100001644,9.6975,device,8287,7808,479,0,0,0.0,cmp_three_tier_to-c48-t0
4,0,0.002,1.517010712006595,9.7413,device,8690,7808,882,0,0,0.0,cmp_three_tier_to-c4-t0
60,0,0.017,5.499674778999179,9.7436,device,10094,7808,2286,0,0,0.0,cmp_three_tier_to-c60-t0
55,0,0.016,5.051075163995847,10.3273,device,8189,7808,381,0,0,0.0,cmp_three_tier_to-c55-t0
1,0,0.001,1.5168113699983223,10.3763,device,8453,7808,645,0,0,0.0,cmp_three_tier_to-c1-t0
54,0,0.016,5.050986488997296,10.3801,device,8170,7808,362,0,0,0.0,cmp_three_tier_to-c54-t0
18,0,0.005,1.924269026996626,10.8759,device,8531,7808,723,0,0,0.0,cmp_three_tier_to-c18-t0
12,0,0.004,1.5169299119952484,10.9434,device,8185,7808,377,0,0,0.0,cmp_three_tier_to-c12-t0
22,0,0.009,2.3923506859937334,11.0362,device,9823,7808,2015,0,0,0.0,cmp_three_tier_to-c22-t0
19,0,0.005,1.9240550640024594,11.3024,device,8237,7808,429,0,0,0.0,cmp_three_tier_to-c19-t0
8,0,0.003,1.5160325010001543,11.3049,device,9746,7808,1938,0,0,0.0,cmp_three_tier_to-c8-t0
33,0,0.011,3.275187758001266,11.4678,device,8398,7808,590,0,0,0.0,cmp_three_tier_to-c33-t0
50,0,0.015,4.6050335919935605,11.6591,device,9785,7808,1977,0,0,0.0,cmp_three_tier_to-c50-t0
29,0,0.01,2.832437975004723,11.7365,device,10525,7808,2717,0,0,0.0,cmp_three_tier_to-c29-t0
53,0,0.015,5.051302571999258,11.7507,device,8469,7808,661,0,0,0.0,cmp_three_tier_to-c53-t0
56,0,0.016,5.050837311995565,11.7505,device,12783,7808,4975,0,0,0.0,cmp_three_tier_to-c56-t0
10,0,0.003,1.5174173549967236,12.2554,device,10305,7808,2497,0,0,0.0,cmp_three_tier_to-c10-t0
27,0,0.01,2.8328719759956584,12.2491,device,8431,7808,623,0,0,0.0,cmp_three_tier_to-c27-t0
42,0,0.013,4.162562732002698,12.6557,device,9719,7808,1911,0,0,0.0,cmp_three_tier_to-c42-t0
57,0,0.016,5.050557804002892,12.653,device,8394,7808,586,0,0,0.0,cmp_three_tier_to-c57-t0
34,0,0.012,3.2749749240028905,12.9303,device,9646,7808,1838,0,0,0.0,cmp_three_tier_to-c34-t0
28,0,0.01,2.8326563680020627,12.932,device,8467,7808,659,0,0,0.0,cmp_three_tier_to-c28-t0
15,0,0.004,1.5164236600030563,12.9753,device,9940,7808,2132,0,0,0.0,cmp_three_tier_to-c15-t0
41,0,0.013,3.7155163400020683,12.9676,device,8528,7808,720,0,0,0.0,cmp_three_tier_to-c41-t0
13,0,0.004,1.5166769049974391,13.199,device,8903,7808,1095,0,0,0.0,cmp_three_tier_to-c13-t0
35,0,0.012,3.274636697002279,13.4143,device,8776,7808,968,0,0,0.0,cmp_three_tier_to-c35-t0
30,0,0.011,2.832117197998741,13.4157,device,8246,7808,438,0,0,0.0,cmp_three_tier_to-c30-t0
49,0,0.015,4.605228777996672,13.4474,device,8840,7808,1032,0,0,0.0,cmp_three_tier_to-c49-t0
25,0,0.01,2.391445314999146,13.485,device,8563,7808,755,0,0,0.0,cmp_three_tier_to-c25-t0
7,0,0.003,1.5162707199997385,13.4924,device,8406,7808,598,0,0,0.0,cmp_three_tier_to-c7-t0
6,0,0.003,1.5164980400004424,13.4928,device,9834,7808,2026,0,0,0.0,cmp_three_tier_to-c6-t0
3,0,0.002,1.516482607999933,13.8339,device,8296,7808,488,0,0,0.0,cmp_three_tier_to-c3-t0
59,0,0.017,5.5000225019975915,13.8203,device,10294,7808,2486,0,0,0.0,cmp_three_tier_to-c59-t0
46,0,0.014,4.1617418009991525,14.4154,device,9838,7808,2030,0,0,0.0,cmp_three_tier_to-c46-t0
52,0,0.015,4.604408521998266,14.4146,device,10887,7808,3079,0,0,0.0,cmp_three_tier_to-c52-t0
45,0,0.014,4.1620228579995455,14.4162,device,10915,7808,3107,0,0,0.0,cmp_three_tier_to-c45-t0
39,0,0.013,3.7160877749993233,14.819,device,10569,7808,2761,0,0,0.0,cmp_three_tier_to-c39-t0
17,0,0.005,1.9244904480001424,14.8271,device,8775,7808,967,0,0,0.0,cmp_three_tier_to-c17-t0
20,0,0.005,1.9237447080013226,15.3806,device,10417,7808,2609,0,0,0.0,cmp_three_tier_to-c20-t0
40,0,0.013,3.7158545310012414,15.3735,device,9876,7808,2068,0,0,0.0,cmp_three_tier_to-c40-t0
26,0,0.01,2.391514601004019,15.3768,device,9104,7808,1296,0,0,0.0,cmp_three_tier_to-c26-t0
2,0,0.002,1.5167790220002644,15.76,device,10466,7808,2658,0,0,0.0,cmp_three_tier_to-c2-t0
38,0,0.012,3.716288950003218,15.8159,device,8180,7808,372,0,0,0.0,cmp_three_tier_to-c38-t0
14,0,0.004,1.5163200099996175,16.3669,device,8477,7808,669,0,0,0.0,cmp_three_tier_to-c14-t0
72,0,0.019,9.327587202998984,16.7271,device,8241,7808,433,0,0,0.0,cmp_three_tier_to-c72-t0
58,0,0.016,5.05032075499912,16.7636,device,8345,7808,537,0,0,0.0,cmp_three_tier_to-c58-t0
37,0,0.012,3.7165459880052367,16.8008,device,9869,7808,2061,0,0,0.0,cmp_three_tier_to-c37-t0
31,0,0.011,2.8317215439965366,16.9494,device,10205,7808,2397,0,0,0.0,cmp_three_tier_to-c31-t0
65,0,0.018,7.656877727000392,17.5842,device,10032,7808,2224,0,0,0.0,cmp_three_tier_to-c65-t0
87,0,0.022,11.689701625997259,17.6147,device,8235,7808,427,0,0,0.0,cmp_three_tier_to-c87-t0
64,0,0.018,7.6571360350062605,17.6516,device,9906,7808,2098,0,0,0.0,cmp_three_tier_to-c64-t0
68,0,0.018,8.145053070002177,18.0601,device,8188,7808,380,0,0,0.0,cmp_three_tier_to-c68-t0
67,0,0.018,8.00648583000293,18.1274,device,8434,7808,626,0,0,0.0,cmp_three_tier_to-c67-t0
24,0,0.009,2.3918114330008393,18.2351,device,10174,7808,2366,0,0,0.0,cmp_three_tier_to-c24-t0
94,0,0.023,12.881888682000863,18.2224,device,8182,7808,374,0,0,0.0,cmp_three_tier_to-c94-t0
71,0,0.019,9.204738806998648,18.3737,device,9974,7808,2166,0,0,0.0,cmp_three_tier_to-c71-t0
99,0,0.024,13.268474969998351,18.4035,device,8268,7808,460,0,0,0.0,cmp_three_tier_to-c99-t0
88,0,0.022,12.200348648002546,18.4059,device,14752,7808,6944,0,0,0.0,cmp_three_tier_to-c88-t0
69,0,0.019,8.618953821001924,18.445,device,8400,7808,592,0,0,0.0,cmp_three_tier_to-c69-t0
96,0,0.024,13.145361732997117,18.5054,device,8227,7808,419,0,0,0.0,cmp_three_tier_to-c96-t0
74,0,0.019,9.583451444996172,19.0097,device,11234,7808,3426,0,0,0.0,cmp_three_tier_to-c74-t0
119,0,0.027,16.57914521299972,19.2818,device,10679,7808,2871,0,0,0.0,cmp_three_tier_to-c119-t0
109,0,0.026,15.134225490997778,19.4652,device,8179,7808,371,0,0,0.0,cmp_three_tier_to-c109-t0
79,0,0.021,10.447988371000974,19.643,device,8394,7808,586,0,0,0.0,cmp_three_tier_to-c79-t0
107,0,0.026,14.77088353200088,19.7051,device,11751,7808,3943,0,0,0.0,cmp_three_tier_to-c107-t0
36,0,0.012,3.27466213000298,19.8625,device,10857,7808,3049,0,0,0.0,cmp_three_tier_to-c36-t0
86,0,0.022,11.617979187001765,19.8532,device,8268,7808,460,0,0,0.0,cmp_three_tier_to-c86-t0
75,0,0.02,9.836682002001908,20.0297,device,9737,7808,1929,0,0,0.0,cmp_three_tier_to-c75-t0
62,0,0.017,5.499329354002839,20.0677,device,10428,7808,2620,0,0,0.0,cmp_three_tier_to-c62-t0
63,0,0.017,5.720116233998851,20.0991,device,11293,7808,3485,0,0,0.0,cmp_three_tier_to-c63-t0
73,0,0.019,9.327493561002484,20.0975,device,8645,7808,837,0,0,0.0,cmp_three_tier_to-c73-t0
70,0,0.019,8.857630328995583,20.246,device,8721,7808,913,0,0,0.0,cmp_three_tier_to-c70-t0
97,0,0.024,13.145139328000369,20.3063,device,9980,7808,2172,0,0,0.0,cmp_three_tier_to-c97-t0
83,0,0.021,11.252446742997563,20.3812,device,11645,7808,3837,0,0,0.0,cmp_three_tier_to-c83-t0
84,0,0.022,11.422920529999828,20.563,device,10033,7808,2225,0,0,0.0,cmp_three_tier_to-c84-t0
104,0,0.025,14.22999535100098,20.7143,device,8394,7808,586,0,0,0.0,cmp_three_tier_to-c104-t0
