arm,turns,conversations,wall_s,turn0_ttft_p50,ret_ttft_mean,ret_ttft_p50,ret_ttft_p90,ret_ttft_p99,ret_uncached_mean,ret_uncached_total,t95_done_s,uncached_total,hits_device,hits_host,hits_storage,cold_returns,d2h_tokens,h2d_tokens,h2s_tokens,s2h_tokens,evict_device_tokens,evict_host_tokens,peak_queue
hbm_host,4676,128,9155.0,7.41,60.994,0.975,184.146,210.081,8663,39397777,6309.0,39618881,1274,1553,0,1721,40466240,22422144,0,0,62222400,38838592,70
three_tier_to,4676,128,5327.3,7.66,1.94,0.323,6.813,17.508,924,4203278,2619.6,4424382,1669,1921,890,68,5271296,47777664,5271296,18111680,52381056,21755648,73
three_tier_wc,4635,128,5147.6,7.82,1.478,0.292,4.503,16.751,558,2512800,2539.0,2733904,1780,1890,837,0,3569792,46386048,3569792,17156224,49290304,19108288,79
hbm_lru,4676,128,11428.8,7.36,97.009,92.852,200.624,224.187,15427,70160510,8658.3,70381614,985,0,0,3563,0,0,0,0,70563456,0,69
