conv,turn,t0,ttft,lat,tier,prompt,cached,uncached,host,storage,gap,rid
9,0,0.003,1.4529001360060647,6.864,device,8603,7808,795,0,0,0.0,cmp_hbm_lru-c9-t0
47,0,0.013,4.2924805490038125,6.8727,device,8233,7808,425,0,0,0.0,cmp_hbm_lru-c47-t0
5,0,0.002,1.4521592640085146,7.4631,device,9678,7808,1870,0,0,0.0,cmp_hbm_lru-c5-t0
51,0,0.014,4.7453946090099635,7.4722,device,8305,7808,497,0,0,0.0,cmp_hbm_lru-c51-t0
61,0,0.016,5.448640431990498,7.7342,device,9606,7808,1798,0,0,0.0,cmp_hbm_lru-c61-t0
23,0,0.009,2.0726201229990693,8.1952,device,8197,7808,389,0,0,0.0,cmp_hbm_lru-c23-t0
0,0,0.001,1.452540874000988,8.4362,cold,8219,0,8219,0,0,0.0,cmp_hbm_lru-c0-t0
11,0,0.003,1.4524196580023272,8.7065,device,8379,7808,571,0,0,0.0,cmp_hbm_lru-c11-t0
16,0,0.004,1.6339956739975605,8.7406,device,9634,7808,1826,0,0,0.0,cmp_hbm_lru-c16-t0
21,0,0.008,2.073195744989789,8.7686,device,10990,7808,3182,0,0,0.0,cmp_hbm_lru-c21-t0
44,0,0.013,3.8390482739923755,8.935,device,8337,7808,529,0,0,0.0,cmp_hbm_lru-c44-t0
32,0,0.01,2.9508071309974184,9.3509,device,9843,7808,2035,0,0,0.0,cmp_hbm_lru-c32-t0
48,0,0.013,4.292286691008485,9.3824,device,8287,7808,479,0,0,0.0,cmp_hbm_lru-c48-t0
4,0,0.002,1.4525065050111152,9.4244,device,8690,7808,882,0,0,0.0,cmp_hbm_lru-c4-t0
60,0,0.016,5.229006316993036,9.4281,device,10094,7808,2286,0,0,0.0,cmp_hbm_lru-c60-t0
55,0,0.015,4.7443634679948445,10.0085,device,8189,7808,381,0,0,0.0,cmp_hbm_lru-c55-t0
1,0,0.001,1.4529428360110614,10.0556,device,8453,7808,645,0,0,0.0,cmp_hbm_lru-c1-t0
54,0,0.015,4.744666660000803,10.0595,device,8170,7808,362,0,0,0.0,cmp_hbm_lru-c54-t0
18,0,0.005,1.6335824659909122,10.5561,device,8531,7808,723,0,0,0.0,cmp_hbm_lru-c18-t0
12,0,0.004,1.4521248109958833,10.6237,device,8185,7808,377,0,0,0.0,cmp_hbm_lru-c12-t0
