conv,turn,t0,ttft,lat,tier,prompt,cached,uncached,host,storage,gap,rid
118,37,5622.186,261.39510518200404,285.9903,cold,39187,7808,31379,0,0,7.315,cmp_hbm_host-c118-t37
19,30,5458.455,254.87006856499647,453.8726,cold,36303,7808,28495,0,0,7.291,cmp_hbm_host-c19-t30
115,33,5593.283,262.71898999299447,323.4295,cold,50150,7808,42342,0,0,0.845,cmp_hbm_host-c115-t33
63,37,5609.789,265.5522261540027,312.2182,cold,29039,7808,21231,0,0,32.631,cmp_hbm_host-c63-t37
79,36,5619.426,259.0183238030004,306.8791,cold,31604,7808,23796,0,0,7.293,cmp_hbm_host-c79-t36
18,37,5507.576,258.3422403059958,420.9019,cold,41112,7808,33304,0,0,7.397,cmp_hbm_host-c18-t37
28,33,5627.741,262.4214860899956,305.7136,cold,33860,7808,26052,0,0,7.284,cmp_hbm_host-c28-t33
112,33,5625.763,260.78080510601285,307.7898,cold,32115,7808,24307,0,0,17.199,cmp_hbm_host-c112-t33
12,34,5638.4,264.69723892598995,303.5458,cold,31216,7808,23408,0,0,0.678,cmp_hbm_host-c12-t34
2,33,5635.502,264.79296825200436,306.7413,cold,40208,7808,32400,0,0,7.232,cmp_hbm_host-c2-t33
10,33,5642.377,265.68432421098987,307.2862,cold,39371,7808,31563,0,0,7.284,cmp_hbm_host-c10-t33
53,32,5339.774,256.51568679000775,609.8897,cold,34039,7808,26231,0,0,7.321,cmp_hbm_host-c53-t32
49,38,5644.907,267.0742355819966,312.8288,cold,35094,7808,27286,0,0,0.722,cmp_hbm_host-c49-t38
29,35,5463.027,252.87218869299977,494.811,cold,30698,7808,22890,0,0,7.224,cmp_hbm_host-c29-t35
94,36,5670.68,257.64116753899725,290.1231,cold,26133,7808,18325,0,0,42.767,cmp_hbm_host-c94-t36
48,31,5644.987,271.3806443029898,320.8927,cold,36328,7808,28520,0,0,7.339,cmp_hbm_host-c48-t31
111,34,5662.028,258.4034840630047,303.9541,cold,33010,7808,25202,0,0,7.302,cmp_hbm_host-c111-t34
43,35,5665.053,256.9026974289882,307.8659,cold,26247,7808,18439,0,0,7.236,cmp_hbm_host-c43-t35
103,36,5685.079,264.0681408399978,287.9417,cold,30350,7808,22542,0,0,17.36,cmp_hbm_host-c103-t36
126,36,5671.893,261.5087811299891,306.3628,cold,40190,7808,32382,0,0,0.706,cmp_hbm_host-c126-t36
80,35,5684.348,262.22935922199395,297.2928,cold,37071,7808,29263,0,0,0.956,cmp_hbm_host-c80-t35
82,32,5704.84,252.33063749699795,281.6137,cold,29191,7808,21383,0,0,7.212,cmp_hbm_host-c82-t32
74,35,5420.294,253.72693777400127,570.2812,cold,30702,7808,22894,0,0,0.951,cmp_hbm_host-c74-t35
45,32,5675.087,263.99789506000525,315.5353,cold,40839,7808,33031,0,0,12.375,cmp_hbm_host-c45-t32
68,33,5693.238,260.6822107199987,305.0528,cold,36544,7808,28736,0,0,7.369,cmp_hbm_host-c68-t33
123,32,5682.355,259.12819097300235,322.0386,cold,31356,7808,23548,0,0,7.289,cmp_hbm_host-c123-t32
93,35,5732.04,258.4823091819999,277.8506,cold,36584,7808,28776,0,0,12.389,cmp_hbm_host-c93-t35
6,30,5532.314,254.98770593600057,481.5065,cold,30010,7808,22202,0,0,7.212,cmp_hbm_host-c6-t30
75,33,5739.68,255.0585109370004,275.3016,cold,36022,7808,28214,0,0,7.313,cmp_hbm_host-c75-t33
5,34,5578.473,258.9737846700009,443.5642,cold,24456,7808,16648,0,0,12.3,cmp_hbm_host-c5-t34
50,33,5544.608,258.23688767100975,480.3641,cold,32397,7808,24589,0,0,1200.0,cmp_hbm_host-c50-t33
30,26,5432.853,252.97258894699917,595.0827,cold,28859,7808,21051,0,0,7.191,cmp_hbm_host-c30-t26
36,36,5752.312,261.4058868889988,278.6821,cold,34993,7808,27185,0,0,7.313,cmp_hbm_host-c36-t36
7,18,5697.052,257.62238429801073,337.5931,cold,19791,7808,11983,0,0,7.08,cmp_hbm_host-c7-t18
113,33,5730.712,255.58949651800503,304.6313,cold,39054,7808,31246,0,0,1.122,cmp_hbm_host-c113-t33
120,38,5767.567,257.3664774210047,275.5301,cold,31238,7808,23430,0,0,7.279,cmp_hbm_host-c120-t38
59,33,5541.535,256.6587237809872,505.0644,cold,39999,7808,32191,0,0,0.872,cmp_hbm_host-c59-t33
41,37,5721.604,259.58046436999575,329.1955,cold,31111,7808,23303,0,0,12.439,cmp_hbm_host-c41-t37
69,37,5769.251,261.40321940000285,281.6232,cold,30141,7808,22333,0,0,42.842,cmp_hbm_host-c69-t37
38,36,5767.616,260.2790467140003,288.266,cold,31452,7808,23644,0,0,7.331,cmp_hbm_host-c38-t36
127,37,5772.569,261.7731091710011,286.2091,cold,33295,7808,25487,0,0,12.372,cmp_hbm_host-c127-t37
