conv,turn,t0,ttft,lat,tier,prompt,cached,uncached,host,storage,gap,rid
9,0,0.004,1.6843457070062868,7.0201,device,8603,7808,795,0,0,0.0,cmp_three_tier_wc-c9-t0
47,0,0.019,4.257025754995993,7.0254,device,8233,7808,425,0,0,0.0,cmp_three_tier_wc-c47-t0
5,0,0.003,1.6856213139981264,7.6185,device,9678,7808,1870,0,0,0.0,cmp_three_tier_wc-c5-t0
51,0,0.02,4.723267168999882,7.6263,device,8305,7808,497,0,0,0.0,cmp_three_tier_wc-c51-t0
61,0,0.023,5.600167009994038,7.8848,device,9606,7808,1798,0,0,0.0,cmp_three_tier_wc-c61-t0
23,0,0.012,2.491279386988026,8.3489,device,8197,7808,389,0,0,0.0,cmp_three_tier_wc-c23-t0
0,0,0.001,1.6867394750006497,8.5925,cold,8219,0,8219,0,0,0.0,cmp_three_tier_wc-c0-t0
11,0,0.005,1.6850135949935066,8.8617,device,8379,7808,571,0,0,0.0,cmp_three_tier_wc-c11-t0
16,0,0.006,2.0459379330131924,8.8957,device,9634,7808,1826,0,0,0.0,cmp_three_tier_wc-c16-t0
21,0,0.011,2.4920438770059263,8.922,device,10990,7808,3182,0,0,0.0,cmp_three_tier_wc-c21-t0
44,0,0.018,4.257835421987693,9.087,device,8337,7808,529,0,0,0.0,cmp_three_tier_wc-c44-t0
32,0,0.015,2.9348921360069653,9.4822,device,9843,7808,2035,0,0,0.0,cmp_three_tier_wc-c32-t0
48,0,0.019,4.256735210001352,9.5127,device,8287,7808,479,0,0,0.0,cmp_three_tier_wc-c48-t0
4,0,0.003,1.6854729069891619,9.5593,device,8690,7808,882,0,0,0.0,cmp_three_tier_wc-c4-t0
60,0,0.022,5.600262579988339,9.5588,device,10094,7808,2286,0,0,0.0,cmp_three_tier_wc-c60-t0
55,0,0.021,4.721768989998964,10.1415,device,8189,7808,381,0,0,0.0,cmp_three_tier_wc-c55-t0
1,0,0.002,1.6863318410032662,10.1952,device,8453,7808,645,0,0,0.0,cmp_three_tier_wc-c1-t0
54,0,0.021,4.7220988949993625,10.1958,device,8170,7808,362,0,0,0.0,cmp_three_tier_wc-c54-t0
18,0,0.007,2.0453632940043462,10.6929,device,8531,7808,723,0,0,0.0,cmp_three_tier_wc-c18-t0
12,0,0.005,1.685086412995588,10.7613,device,8185,7808,377,0,0,0.0,cmp_three_tier_wc-c12-t0
22,0,0.012,2.491685424000025,10.8514,device,9823,7808,2015,0,0,0.0,cmp_three_tier_wc-c22-t0
19,0,0.007,2.0450346500001615,11.1196,device,8237,7808,429,0,0,0.0,cmp_three_tier_wc-c19-t0
8,0,0.004,1.6847404339932837,11.123,device,9746,7808,1938,0,0,0.0,cmp_three_tier_wc-c8-t0
33,0,0.015,3.3717416069994215,11.2824,device,8398,7808,590,0,0,0.0,cmp_three_tier_wc-c33-t0
50,0,0.02,4.7236061220028205,11.4728,device,9785,7808,1977,0,0,0.0,cmp_three_tier_wc-c50-t0
29,0,0.014,2.936091754992958,11.5518,device,10525,7808,2717,0,0,0.0,cmp_three_tier_wc-c29-t0
56,0,0.021,5.17547847199603,11.5644,device,12783,7808,4975,0,0,0.0,cmp_three_tier_wc-c56-t0
53,0,0.021,4.722593042999506,11.5657,device,8469,7808,661,0,0,0.0,cmp_three_tier_wc-c53-t0
10,0,0.004,1.6854710390034597,12.0739,device,10305,7808,2497,0,0,0.0,cmp_three_tier_wc-c10-t0
27,0,0.013,2.490275724005187,12.0658,device,8431,7808,623,0,0,0.0,cmp_three_tier_wc-c27-t0
42,0,0.017,4.258340378000867,12.4702,device,9719,7808,1911,0,0,0.0,cmp_three_tier_wc-c42-t0
