arm,turns,conversations,wall_s,turn0_ttft_p50,ret_ttft_mean,ret_ttft_p50,ret_ttft_p90,ret_ttft_p99,ret_uncached_mean,ret_uncached_total,t95_done_s,uncached_total,hits_device,hits_host,hits_storage,cold_returns,d2h_tokens,h2d_tokens,h2s_tokens,s2h_tokens,evict_device_tokens,evict_host_tokens,peak_queue
hbm_host,4668,128,9005.2,7.43,114.765,134.471,250.411,265.53,11495,52188620,7336.8,52409724,635,1484,0,2421,53250048,18192064,0,0,70780416,51625152,75
three_tier_to,4666,128,8891.5,7.66,115.925,134.011,251.289,266.138,11648,52859224,7417.7,53080328,636,1424,10,2468,53918976,17440128,53918976,1078784,70691648,53374528,76
three_tier_wc,4667,128,9037.0,7.5,116.127,135.739,252.07,262.58,11643,52846252,7414.9,53067356,655,1403,9,2472,53907136,17379072,53907136,1100608,70625216,53384512,75
hbm_lru,4550,128,9064.4,7.35,138.725,144.389,251.764,263.786,15832,70007849,8026.9,70228953,816,0,0,3606,0,0,0,0,70347648,0,75
